ファイル対象年月,交通種別,交通機関名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2024-04,航空機,萩・石見 ～ 羽田,8994.0,9259.0,97.1,37730.0,37944.0,99.4
2024-04,フェリー,本土 ～ 隠岐,17818.0,15489.0,115.0,64698.0,57888.0,111.8
2024-04,高速船,本土 ～ 隠岐,6215.0,7564.0,82.2,12223.0,17157.0,71.2
2024-05,,出雲縁結び ～ 羽田,53633.0,53856.0,99.6,239270.0,216535.0,110.5
2024-05,,出雲縁結び ～ 大阪,14000.0,13838.0,101.2,70970.0,61669.0,115.1
2024-05,,出雲縁結び ～ 福岡,4330.0,4307.0,100.5,21566.0,18867.0,114.3
2024-05,,出雲縁結び ～ 名古屋,6691.0,8029.0,83.3,32559.0,33804.0,96.3
2024-05,航空機,出雲縁結び ～ 中部,3126.0,-,,6012.0,-,
2024-05,航空機,出雲縁結び ～ 静岡,2730.0,3828.0,71.3,5675.0,16227.0,35.0
2024-05,航空機,萩・石見 ～ 羽田,11746.0,11746.0,100.0,49476.0,49690.0,99.6
2024-05,フェリー,本土 ～ 隠岐,20796.0,22167.0,93.8,85494.0,80055.0,106.8
2024-05,高速船,本土 ～ 隠岐,9250.0,8604.0,107.5,21473.0,25761.0,83.4
2024-06,,出雲縁結び ～ 羽田,47836.0,50577.0,94.6,287106.0,267112.0,107.5
2024-06,,出雲縁結び ～ 大阪,12832.0,12733.0,100.8,83802.0,74402.0,112.6
2024-06,,出雲縁結び ～ 福岡,4032.0,4251.0,94.8,25598.0,23118.0,110.7
2024-06,,出雲縁結び ～ 名古屋,6090.0,7727.0,78.8,38649.0,41531.0,93.1
2024-06,航空機,出雲縁結び ～ 中部,2527.0,,,8539.0,,
2024-06,航空機,出雲縁結び ～ 静岡,2462.0,3374.0,73.0,8137.0,19601.0,41.5
2024-06,航空機,萩・石見 ～ 羽田,11488.0,10751.0,106.9,60964.0,60441.0,100.9
2024-06,フェリー,本土 ～ 隠岐,16202.0,15535.0,104.3,101696.0,95590.0,106.4
2024-06,高速船,本土 ～ 隠岐,11151.0,11620.0,96.0,32624.0,37381.0,87.3
2024-07,,出雲縁結び ～ 羽田,47473.0,43248.0,109.8,334579.0,310360.0,107.8
