年度,市町村名,観光地・施設名(観光地内訳),新規,月別内訳,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,分類コード
R6,出雲市,(12) 平田海岸,,,20,268,34,314,540,87,70,121,80,944,295,76,2244,1-02-11
R6,出雲市,(13) 島根ゴルフ倶楽部,,,2325,2551,3505,3762,3851,798,9733,9973,1550,254,44,145,23673,1-04-04
R6,出雲市,(14) 湖遊館,,,8461,8345,5353,2783,750,3745,2941,2695,3594,3708,3726,3204,39607,1-04-01
R6,出雲市,(15) 宍道湖グリーンパーク,,,6472,5575,6698,4912,6627,0,0,0,0,0,365,2534,28591,1-04-01
R6,出雲市,(16) ゴビウス,,,12536,10254,13257,8198,11156,5109,8635,17704,6657,5435,5345,3828,82997,1-04-99
R6,出雲市,(17) 湯元楯縫割烹温泉ゆらり,,,18485,16748,17664,14431,15059,8933,13549,23068,12943,11768,8545,5546,139753,1-02-06
R6,出雲市,(18) すさのおの郷ゆかり館,,,,,,,,13254,13575,16811,14768,14222,15924,16685,187626,1-03-01
R6,出雲市,(19) 目田森林公園,,,0,0,263,1059,1579,0,1-03-01,,,,,,,
R6,出雲市,(20) 須佐神社,,,19400,8000,4500,7700,10700,482,437,909,531,616,363,44,6283,1-04-07
R6,出雲市,(21) 八雲風穴,,,0,0,0,0,0,5400,4400,13300,6900,9900,15000,5000,110200,1-02-03
R6,出雲市,(22) 多伎いちじく温泉,,,8000,7476,8056,6695,7689,0,2266,8510,199,0,0,0,10975,1-01-99
R6,出雲市,(23) 田儀海岸,,,12,16,20,66,124,3952,5833,8891,5868,6155,6844,6927,82386,1-03-01
R6,出雲市,a（田儀海水浴場）,,,0,0,0,0,0,441,441,1941,902,417,158,133,4671,
R6,出雲市,b（その他）,,,12,16,20,66,124,204,204,1679,0,0,0,0,2087,1-04-05
R6,出雲市,(24) キララビーチ（岐久海岸）,,,35,51,76,437,682,237,237,262,902,417,158,133,2584,1-01-05
R6,出雲市,a（海水浴場）,,,0,0,0,0,0,3756,36115,36072,10013,1352,623,275,89487,
R6,出雲市,b（その他）,,,35,51,76,437,682,79,28416,13993,0,0,0,0,42488,1-04-05
R6,出雲市,(25) 多伎町全域釣り,,,95,113,285,515,495,3677,7699,22079,10013,1352,623,275,46999,1-01-05
R6,出雲市,(26) キララコテージ,,,583,632,1421,1543,1731,499,338,363,597,749,383,222,4654,1-04-04
R6,出雲市,(27) 道の駅キララ多伎,,,25043,25336,34488,36601,41955,1452,3158,4292,2133,1304,1646,942,20837,1-04-03
R6,出雲市,(28) マリンタラソ出雲,,,4310,4539,2499,4003,4230,32117,35412,50813,44584,39379,38409,25360,429497,1-06-99
R6,出雲市,(29) 湖陵温泉,,,93,60,261,258,175,4173,4549,4822,4222,4052,3740,3205,48344,1-04-99
R6,出雲市,(30) いづも大社カントリークラブ,,,3203,2975,3785,4367,4781,305,253,217,605,74,278,359,2938,1-03-01
R6,出雲市,(31) 日御碕,,,48800,56610,83000,95310,131920,4175,3512,3415,4235,4444,4201,3612,46705,1-04-01
R6,出雲市,(32) 出雲大社,,,968000,385000,494000,510000,957000,83750,19460,0,88130,99970,107200,50790,864940,1-01-05
R6,出雲市,(33) 吉兆館,,,4300,4000,3500,5600,7050,428000,400000,602000,507000,619000,735000,377000,6982000,1-02-03
R6,出雲市,(34),,,,,,,,4500,5700,7600,5900,8200,10600,6500,73450,1-02-06
R6,出雲市,(35) 蔵の美術館（手銭記念館）,,,55,0,85,156,176,0,1-02-12,,,,,,,
R6,出雲市,(36) 島根ワイナリー,,,35710,24857,34165,32399,38758,52,115,69,69,171,170,13,1131,1-02-06
R6,出雲市,(37) 稲佐の浜海水浴場,,,0,0,0,0,0,26842,26857,51852,37936,45880,54081,29401,438738,1-05-03
R6,出雲市,(38) おわし浜海水浴場,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1-04-05
R6,出雲市,(39) 大社町全域釣り,,,999,1325,2358,3931,3691,0,340,0,0,0,0,0,340,1-04-05
R6,出雲市,(40) 古代出雲歴史博物館,,,12160,9072,15929,16304,19212,2979,2128,2124,2907,4015,2536,1542,30535,1-04-04
R6,出雲市,(41),,,,,,,,11736,13888,22239,17250,19594,25181,12126,194691,1-02-06
R6,出雲市,(42) 出雲弥生の森博物館,,,1727,1834,2150,4215,2817,0,1-06-99,,,,,,,
R6,出雲市,(43) 出雲神話まつり,,,0,0,0,0,0,0,0,65000,0,0,0,0,65000,2-01-04
R6,出雲市,(45) 鰐淵寺紅葉まつり,,,0,0,0,0,0,0,0,0,0,0,6500,0,6500,2-01-01
R6,出雲市,(46) いずも産業未来博,,,0,0,0,0,0,0,0,0,0,0,16500,0,16500,2-01-01
R6,出雲市,(47) 荒神谷遺跡,,,554,1259,1868,2858,4284,2653,2591,2185,2283,1815,1978,880,25208,
R6,出雲市,a（荒神谷博物館）,,,0,372,490,681,888,843,973,1025,953,460,767,383,7835,1-02-06
R6,出雲市,b（公園）,,,554,887,1378,2177,3396,1810,1618,1160,1330,1355,1211,497,17373,1-02-01
R6,出雲市,(48) 湯の川温泉,,,3620,3351,4046,3802,4278,3480,3424,3986,3588,3591,3722,4379,45267,1-03-01
R6,出雲市,(49) 万九千神社,,,13100,4900,5100,6750,13500,6800,4300,4700,5450,8500,49100,4300,126500,1-02-03
R6,出雲市,(50) 出雲いりすの丘 ひかわ美人の湯,,,12597,9091,12307,9968,10817,7902,7535,10178,8648,9686,10640,10142,119511,1-03-01
R6,出雲市,(51) 道の駅湯の川,,,28595,28017,37942,33447,42752,36384,29935,42133,38566,42202,51938,35451,447362,1-06-99
R6,出雲市,(52) 原鹿の旧豪農屋敷,,,280,341,348,996,3242,1075,324,332,925,1832,906,328,10929,1-02-12
R6,出雲市,(53) 出雲空港カントリー倶楽部,,,1839,2315,3438,4172,4701,4284,3194,3322,4042,4638,4323,3048,43316,1-04-01
R6,出雲市,(54) 出雲市トキ学習コーナー,,,113,190,335,616,392,180,277,304,247,593,312,146,3705,1-02-09
R6,出雲市,(55) 出雲市トキ公開施設,,,462,1067,1746,5218,4445,1429,780,605,1505,1831,1191,266,20545,1-02-09
R6,出雲市,(56) 鰐淵寺,,,145,122,270,238,435,261,145,270,345,509,5091,964,8795,1-02-03
R6,出雲市,(57) 地域の祭り・イベント,,,0,0,0,12000,0,0,22000,0,0,0,20000,0,54000,2-01-99
R6,出雲市,,,,1280555,651250,842552,932672,1458693,775662,755057,1108827,915650,1048674,1304662,644203,11718457,
